name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Madrid,2008-08-29,32.7,20.1,26.7,31.2,20.1,26,9.7,36.2,0,0,0,,0,0,,22.4,125.1,1017,27.6,20.6,,,,,2008-08-29T07:39:20,2008-08-29T20:51:08,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08226099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-08-30,28.1,18.8,24.4,27.3,18.8,24.2,9.6,40.7,0,0,0,,0,0,,26.6,207.9,1016.3,39.6,19.6,,,,,2008-08-30T07:40:18,2008-08-30T20:49:33,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08272099999,08213099999,08219099999,08223099999,08215099999"
Madrid,2008-08-31,29,16.2,22.6,27.9,16.2,22.4,8.9,43.1,0,0,0,,0,0,,11.1,308.3,1018,30.4,20.8,,,,,2008-08-31T07:41:15,2008-08-31T20:47:58,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08213099999,08219099999,08223099999,08215099999"
Madrid,2008-09-01,30.1,16.1,23.2,28.6,16.1,22.8,8.6,42.1,0,0,0,,0,0,,14.3,297.6,1019.8,15.5,19.7,,,,,2008-09-01T07:42:13,2008-09-01T20:46:22,0.05,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08226099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-09-02,30.2,16.2,23.4,28.6,16.2,22.9,7,36.1,0,0,0,,0,0,,22.6,264.3,1016.7,38.5,19,,,,,2008-09-02T07:43:11,2008-09-02T20:44:46,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08226099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-09-03,27.9,15.6,22,26.8,15.6,21.9,7.5,40.7,0,0,0,,0,0,,31.9,228.8,1012.9,26.9,19.9,,,,,2008-09-03T07:44:09,2008-09-03T20:43:09,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08226099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-09-04,26.4,16,21.7,26.4,16,21.7,9.1,45.2,0,0,0,,0,0,,35.1,226.6,1011.3,47.8,19.7,,,,,2008-09-04T07:45:06,2008-09-04T20:41:32,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08226099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-09-05,22.7,16.9,20.1,22.7,16.9,20.1,10.8,56.3,0,0,0,,0,0,76,35,223.5,1011.4,49.4,21.3,,,,,2008-09-05T07:46:04,2008-09-05T20:39:55,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08226099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-09-06,23.8,14.1,19,23.8,14.1,19,9.9,60.3,2.451,100,16.67,rain,0,0,,31,250.8,1013.1,69.4,17.2,,,,,2008-09-06T07:47:02,2008-09-06T20:38:17,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08227099999,08224099999,08213099999,08219099999,08223099999,08215099999"
Madrid,2008-09-07,25.4,10.9,18.3,25.4,10.9,18.3,5.7,48.1,0.003,100,4.17,rain,0,0,,10.7,69.7,1016.1,22.8,20.8,,,,,2008-09-07T07:47:59,2008-09-07T20:36:38,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"08221099999,08227099999,08224099999,08213099999,08219099999,08223099999,08215099999"
